date,views,reach,profile_views,interactions_total,likes,comments,saves,shares,replies,views_nf,reach_nf,views_f,reach_f,views_story,views_post,views_reel
2025-03-09,34,11,0,1,0,0,0,0,1,0,0,34,11,34,0,0
2025-03-10,27,18,4,1,1,0,0,0,0,15,6,12,12,13,2,12
2025-03-11,7,4,0,1,1,0,0,0,0,7,4,0,0,0,0,7
2025-03-12,6,3,0,1,1,0,0,0,0,6,3,0,0,0,0,6
2025-03-13,8,6,0,1,0,0,0,0,1,4,3,4,3,4,0,4
2025-03-14,9,8,0,0,0,0,0,0,0,1,1,8,7,8,0,1
2025-03-15,13,12,1,0,0,0,0,0,0,1,1,12,11,12,0,1
2025-03-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-17,4,2,1,0,0,0,0,0,0,4,2,0,0,0,0,4
2025-03-18,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2025-03-19,6,5,0,0,0,0,0,0,0,6,5,0,0,0,0,6
2025-03-20,20,9,1,0,0,0,0,0,0,4,2,16,7,16,0,4
2025-03-21,5,2,1,0,0,0,0,0,0,3,2,2,0,2,2,1
2025-03-22,28,10,2,0,0,0,0,0,0,9,4,19,6,25,0,3
2025-03-23,3,1,1,0,0,0,0,0,0,0,0,3,1,3,0,0
2025-03-24,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2025-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-26,22,10,0,0,0,0,0,0,0,2,1,20,9,20,0,2
2025-03-27,13,12,2,3,0,0,0,0,3,1,1,12,11,12,0,1
2025-03-28,17,3,2,0,0,0,0,0,0,3,2,14,1,6,1,10
2025-03-29,203,139,3,10,8,2,0,0,0,136,123,67,16,0,2,201
2025-03-30,107,67,4,6,4,0,0,1,0,78,60,29,7,21,1,85
2025-03-31,54,34,2,2,1,1,0,0,0,27,24,27,10,4,1,49
2025-04-01,16,16,0,0,0,0,0,0,0,15,14,1,2,0,0,16
2025-04-02,6,5,0,1,0,1,0,0,0,4,3,2,2,0,0,6
2025-04-03,23,4,2,0,0,0,0,0,0,2,1,21,3,0,0,23
2025-04-04,9,2,1,5,3,2,0,0,0,1,1,8,1,0,0,9
2025-04-05,4,3,0,0,0,0,0,0,0,2,2,2,1,0,0,4
2025-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-07,20,9,0,0,0,0,0,0,0,4,2,16,7,16,0,4
2025-04-08,12,5,2,0,0,0,0,0,0,4,3,8,2,4,2,6
2025-04-09,19,11,0,0,0,0,0,0,0,2,2,17,9,16,0,3
2025-04-10,9,4,1,0,0,0,0,0,0,0,1,9,3,5,1,3
2025-04-11,9,8,0,0,0,0,0,0,0,1,1,8,7,8,1,0
2025-04-12,8,8,0,0,0,0,0,0,0,1,1,7,7,7,0,1
2025-04-13,47,23,0,3,3,0,0,0,0,10,8,37,15,9,0,38
2025-04-14,70,26,0,4,3,0,0,0,1,21,17,49,9,36,0,34
2025-04-15,23,19,0,0,0,0,0,0,0,16,15,7,4,0,0,23
2025-04-16,35,12,0,2,1,0,0,0,1,2,2,33,10,20,0,15
2025-04-17,3,1,0,0,0,0,0,0,0,2,1,1,0,0,0,3
2025-04-18,7,5,0,0,0,0,0,0,0,2,2,5,3,4,0,3
2025-04-19,13,8,0,0,0,0,0,0,0,3,2,10,6,10,0,3
2025-04-20,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
2025-04-21,43,20,1,1,1,0,0,0,0,31,14,12,6,0,2,41
